feature,importance
storage_activity,0.08178404
4gram_unique_count,0.06279054
total_jumps,0.057661783
opcode_jump_count,0.04754794
opcode_callcode_count,0.04634409
revert_count,0.03376871
3gram_unique_count,0.030686064
has_unpause,0.026464578
2gram_unique_count,0.026068594
delegatecall_storage_interaction,0.026041327
transfer_complexity_interaction,0.026010556
2gram_max_frequency,0.022029586
erc20_function_count,0.02073499
opcode_staticcall_count,0.017852655
opcode_delegatecall_ratio,0.01720077
opcode_revert_ratio,0.01660593
q2_opcode_diversity,0.016300742
opcode_return_count,0.015869128
bytecode_length,0.015841944
unique_bytes,0.015442354
computed_storage_writes,0.015156739
opcode_revert_count,0.014617421
jump_density,0.014471581
q3_opcode_diversity,0.014178416
estimated_function_count,0.014082468
opcode_sstore_ratio,0.013428673
dangerous_call_ratio,0.013037784
conditional_selfdestruct,0.012803245
opcode_sload_count,0.012006884
opcode_selfdestruct_count,0.011774235
opcode_staticcall_ratio,0.011655749
has_burn,0.011049632
opcode_jump_ratio,0.010741101
conditional_jump_ratio,0.009875787
revert_to_return_ratio,0.009311268
4gram_entropy,0.009290105
zero_byte_ratio,0.008905259
opcode_return_ratio,0.008494483
opcode_delegatecall_count,0.008457365
opcode_callcode_ratio,0.00839917
opcode_sload_ratio,0.008271611
q1_opcode_diversity,0.007996893
opcode_sstore_count,0.007920839
max_jumpi_before_transfer,0.007710368
balance_check_count,0.0073375944
delegatecall_to_storage_pattern,0.007265171
computed_storage_ratio,0.006590843
opcode_create2_count,0.0064971526
opcode_jumpi_count,0.0063660843
opcode_jumpi_ratio,0.006276177
byte_entropy,0.0061306916
repeated_byte_ratio,0.0060668965
total_calls,0.005697454
ff_byte_ratio,0.0054713697
3gram_entropy,0.005267248
function_density,0.0051707155
2gram_entropy,0.0050631976
opcode_create2_ratio,0.004910065
avg_function_complexity,0.0043015974
has_transfer,0.0037165906
opcode_call_ratio,0.0035668954
has_mint,0.003520144
4gram_max_frequency,0.0033767112
storage_write_read_ratio,0.0026607588
conditional_complexity,0.0024944465
max_consecutive_jumpi,0.0022017749
opcode_call_count,0.0017387101
q4_opcode_diversity,0.0016282678
opcode_selfdestruct_ratio,0.0
has_approve,0.0
has_transferfrom,0.0
has_removeblacklist,0.0
has_approve_no_transferfrom,0.0
missing_transfer,0.0
has_setfee,0.0
has_pause,0.0
has_blacklist,0.0
has_isblacklisted,0.0
3gram_max_frequency,0.0
has_blacklist_functions,0.0
has_addblacklist,0.0
hidden_owner_checks,0.0
has_selfdestruct,0.0
fee_storage_manipulation,0.0
has_dynamic_fee,0.0
has_pause_mechanism,0.0
is_large_contract,0.0
is_medium_contract,0.0
is_small_contract,0.0
has_constructor_pattern,0.0
has_metadata,0.0
broken_erc20_interaction,0.0
has_standard_memory_init,0.0
blacklist_owner_interaction,0.0
