feature,importance
storage_activity,0.08178403973579407
4gram_unique_count,0.06279054284095764
total_jumps,0.05766178295016289
opcode_jump_count,0.04754794016480446
opcode_callcode_count,0.0463440902531147
revert_count,0.03376870974898338
3gram_unique_count,0.030686063691973686
has_unpause,0.02646457776427269
2gram_unique_count,0.026068594306707382
delegatecall_storage_interaction,0.02604132704436779
transfer_complexity_interaction,0.026010556146502495
2gram_max_frequency,0.022029586136341095
erc20_function_count,0.020734990015625954
opcode_staticcall_count,0.017852654680609703
opcode_delegatecall_ratio,0.01720076985657215
opcode_revert_ratio,0.016605930402874947
q2_opcode_diversity,0.016300741583108902
opcode_return_count,0.015869127586483955
bytecode_length,0.01584194414317608
unique_bytes,0.015442353673279285
computed_storage_writes,0.015156739391386509
opcode_revert_count,0.014617420732975006
jump_density,0.01447158120572567
q3_opcode_diversity,0.014178415760397911
estimated_function_count,0.0140824681147933
opcode_sstore_ratio,0.013428673148155212
dangerous_call_ratio,0.013037784025073051
conditional_selfdestruct,0.012803245335817337
opcode_sload_count,0.012006884440779686
opcode_selfdestruct_count,0.011774235405027866
opcode_staticcall_ratio,0.011655748821794987
has_burn,0.011049631983041763
opcode_jump_ratio,0.010741100646555424
conditional_jump_ratio,0.009875787422060966
revert_to_return_ratio,0.009311268106102943
4gram_entropy,0.009290104731917381
zero_byte_ratio,0.0089052589610219
opcode_return_ratio,0.008494483307003975
opcode_delegatecall_count,0.008457365445792675
opcode_callcode_ratio,0.008399169892072678
opcode_sload_ratio,0.008271611295640469
q1_opcode_diversity,0.007996892556548119
opcode_sstore_count,0.00792083889245987
max_jumpi_before_transfer,0.0077103679068386555
balance_check_count,0.0073375944048166275
delegatecall_to_storage_pattern,0.007265171036124229
computed_storage_ratio,0.006590843200683594
opcode_create2_count,0.006497152615338564
opcode_jumpi_count,0.0063660843297839165
opcode_jumpi_ratio,0.006276176776736975
byte_entropy,0.00613069161772728
repeated_byte_ratio,0.006066896487027407
total_calls,0.005697453860193491
ff_byte_ratio,0.005471369717270136
3gram_entropy,0.005267248023301363
function_density,0.005170715507119894
2gram_entropy,0.005063197575509548
opcode_create2_ratio,0.004910064861178398
avg_function_complexity,0.004301597364246845
has_transfer,0.0037165905814617872
opcode_call_ratio,0.003566895378753543
has_mint,0.0035201439168304205
4gram_max_frequency,0.0033767111599445343
storage_write_read_ratio,0.0026607587933540344
conditional_complexity,0.0024944464676082134
max_consecutive_jumpi,0.0022017748560756445
opcode_call_count,0.0017387100961059332
q4_opcode_diversity,0.0016282678116112947
opcode_selfdestruct_ratio,0.0
has_approve,0.0
has_transferfrom,0.0
has_removeblacklist,0.0
has_approve_no_transferfrom,0.0
missing_transfer,0.0
has_setfee,0.0
has_pause,0.0
has_blacklist,0.0
has_isblacklisted,0.0
3gram_max_frequency,0.0
has_blacklist_functions,0.0
has_addblacklist,0.0
hidden_owner_checks,0.0
has_selfdestruct,0.0
fee_storage_manipulation,0.0
has_dynamic_fee,0.0
has_pause_mechanism,0.0
is_large_contract,0.0
is_medium_contract,0.0
is_small_contract,0.0
has_constructor_pattern,0.0
has_metadata,0.0
broken_erc20_interaction,0.0
has_standard_memory_init,0.0
blacklist_owner_interaction,0.0
