bytecode_length,unique_bytes,byte_entropy,zero_byte_ratio,ff_byte_ratio,repeated_byte_ratio,opcode_delegatecall_count,opcode_delegatecall_ratio,opcode_selfdestruct_count,opcode_selfdestruct_ratio,opcode_callcode_count,opcode_callcode_ratio,opcode_create2_count,opcode_create2_ratio,opcode_staticcall_count,opcode_staticcall_ratio,opcode_sstore_count,opcode_sstore_ratio,opcode_sload_count,opcode_sload_ratio,opcode_jump_count,opcode_jump_ratio,opcode_jumpi_count,opcode_jumpi_ratio,opcode_call_count,opcode_call_ratio,opcode_return_count,opcode_return_ratio,opcode_revert_count,opcode_revert_ratio,storage_write_read_ratio,conditional_jump_ratio,has_isblacklisted,has_blacklist,has_addblacklist,has_removeblacklist,has_transfer,has_transferfrom,has_approve,has_mint,has_burn,has_setfee,has_pause,has_unpause,has_approve_no_transferfrom,missing_transfer,has_blacklist_functions,erc20_function_count,total_jumps,jump_density,conditional_complexity,max_consecutive_jumpi,2gram_entropy,2gram_unique_count,2gram_max_frequency,3gram_entropy,3gram_unique_count,3gram_max_frequency,4gram_entropy,4gram_unique_count,4gram_max_frequency,delegatecall_to_storage_pattern,max_jumpi_before_transfer,hidden_owner_checks,balance_check_count,conditional_selfdestruct,has_selfdestruct,fee_storage_manipulation,has_dynamic_fee,has_pause_mechanism,avg_function_complexity,revert_count,revert_to_return_ratio,computed_storage_writes,computed_storage_ratio,is_small_contract,is_medium_contract,is_large_contract,estimated_function_count,function_density,q1_opcode_diversity,q2_opcode_diversity,q3_opcode_diversity,q4_opcode_diversity,has_constructor_pattern,has_metadata,has_standard_memory_init,_chain,_address,_name,blacklist_owner_interaction,delegatecall_storage_interaction,broken_erc20_interaction,transfer_complexity_interaction,storage_activity,total_calls,dangerous_call_ratio,label
3124,187,4.792179308846109,0.07490396927016646,0.30089628681177977,0.30089628681177977,2,0.0006402048655569782,940,0.30089628681177977,1,0.0003201024327784891,8,0.002560819462227913,2,0.0006402048655569782,14,0.004481434058898848,21,0.006722151088348271,58,0.01856594110115237,51,0.016325224071702945,58,0.01856594110115237,10,0.003201024327784891,17,0.005441741357234315,0.6666666666666666,0.46788990825688076,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,109,0.034891165172855315,1.6325224071702946,1,6.542826782243889,626,889,7.307382754658226,918,842,7.715182417089822,1090,795,0,8,0,1,461,1.0,0,0.0,0.0,10.0,17,1.7,6,1.0,0.0,1.0,0.0,15,4.801536491677337,106,75,67,122,1.0,1.0,0.0,ethereum,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0.0,12,0.0,13.060179257362357,35,62,0.031746031746031744,0
11075,247,4.594815222080316,0.07792325056433408,0.3641534988713318,0.363882618510158,8,0.0007223476297968397,4033,0.3641534988713318,8,0.0007223476297968397,23,0.002076749435665914,2,0.00018058690744920993,35,0.003160270880361174,104,0.009390519187358917,229,0.020677200902934536,156,0.014085778781038375,251,0.022663656884875847,24,0.0021670428893905192,86,0.007765237020316027,0.33653846153846156,0.4051948051948052,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3,385,0.03476297968397291,1.4085778781038374,1,6.353052192020011,1405,3792,7.169541931917658,2146,3576,7.687560705625467,2697,3360,9,9,0,2,1489,1.0,0,0.0,1.0,17.9,86,3.5833333333333335,25,1.0,0.0,0.0,1.0,42,3.792325056433409,195,175,164,156,1.0,1.0,0.0,ethereum,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,0.0,200,0.0,12.677200902934537,139,261,0.030534351145038167,0
2186,186,5.327942102814106,0.09606587374199452,0.2593778591033852,0.2584629460201281,7,0.003202195791399817,567,0.2593778591033852,5,0.0022872827081427266,5,0.0022872827081427266,5,0.0022872827081427266,6,0.0027447392497712718,8,0.0036596523330283625,68,0.03110704483074108,33,0.015096065873741994,34,0.01555352241537054,3,0.0013723696248856359,12,0.0054894784995425435,0.75,0.32673267326732675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,101,0.046203110704483075,1.5096065873741995,1,6.994269704161421,624,535,7.643511520858492,857,506,7.988981308866168,994,477,0,0,0,0,287,1.0,0,0.0,0.0,5.5,12,4.0,4,1.0,0.0,1.0,0.0,15,6.86184812442818,75,89,103,170,1.0,1.0,1.0,ethereum,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,0.0,28,0.0,0.0,14,46,0.14893617021276595,0
7904,221,4.7565960043564015,0.12171052631578948,0.2987095141700405,0.2987095141700405,17,0.00215080971659919,2361,0.2987095141700405,6,0.0007591093117408907,14,0.001771255060728745,5,0.0006325910931174089,34,0.00430161943319838,27,0.0034159919028340082,125,0.015814777327935223,100,0.012651821862348178,128,0.016194331983805668,19,0.002403846153846154,36,0.004554655870445344,1.2592592592592593,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,225,0.028466599190283402,1.2651821862348178,1,6.410809428380774,948,2240,7.183643772697816,1453,2124,7.6426704065295095,1805,2008,3,4,0,1,775,1.0,0,0.0,0.0,17.5,36,1.894736842105263,13,1.0,0.0,1.0,0.0,29,3.669028340080972,149,137,132,147,1.0,0.0,1.0,ethereum,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,0.0,221,0.0,5.060728744939271,61,150,0.11258278145695365,0
4582,230,5.8511904852708465,0.1276735050196421,0.029463116542994324,0.1097773897861196,5,0.0010912265386294195,135,0.029463116542994324,3,0.0006547359231776517,15,0.003273679615888258,1,0.00021824530772588389,54,0.01178524661719773,60,0.013094718463553033,150,0.032736796158882586,108,0.02357049323439546,24,0.005237887385421213,12,0.0026189436927106066,64,0.013967699694456569,0.9,0.4186046511627907,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5,258,0.056307289393278045,2.357049323439546,2,8.491970828158271,1136,190,9.525567674882224,1801,182,10.033433377226302,2207,174,14,10,0,3,100,1.0,0,0.0,1.0,18.7,64,5.333333333333333,18,0.9473684210526315,0.0,1.0,0.0,38,8.293321693583588,145,153,129,154,1.0,1.0,1.0,ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,0.0,90,0.0,23.570493234395464,114,30,0.16129032258064516,0
3153,200,5.718497328530271,0.10497938471297177,0.012369172216936251,0.11068823342848082,3,0.0009514747859181732,39,0.012369172216936251,5,0.001585791309863622,5,0.001585791309863622,4,0.0012686330478908975,18,0.005708848715509039,12,0.003805899143672693,97,0.030764351411354265,47,0.014906438312718047,10,0.003171582619727244,18,0.005708848715509039,24,0.007611798287345386,1.5,0.3263888888888889,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,144,0.04567078972407231,1.4906438312718047,1,8.205951915620377,751,99,9.145273343027807,1151,94,9.562291175586155,1377,89,0,9,0,1,10,1.0,0,0.0,0.0,10.9,24,1.3333333333333333,9,1.0,0.0,1.0,0.0,18,5.708848715509039,104,101,105,134,1.0,1.0,0.0,ethereum,0x514910771AF9Ca656af840dff83E8264EcF986CA,LINK,0.0,27,0.0,13.415794481446241,30,17,0.16666666666666666,0
2491,212,6.210836419324287,0.0734644720995584,0.0004014452027298274,0.09152950622240064,4,0.0016057808109193096,1,0.0004014452027298274,6,0.0024086712163789645,7,0.0028101164191087916,4,0.0016057808109193096,22,0.008831794460056202,2,0.0008028904054596548,97,0.03894018466479326,52,0.020875150541951024,5,0.002007226013649137,7,0.0028101164191087916,27,0.010839020473705338,11.0,0.348993288590604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,149,0.05981533520674428,2.0875150541951024,1,8.813972462063967,882,61,9.738842536188328,1280,50,10.125370760942848,1512,25,3,0,0,0,0,1.0,0,0.0,0.0,8.6,27,3.857142857142857,13,1.0,0.0,1.0,0.0,17,6.824568446407065,86,114,135,171,1.0,0.0,1.0,ethereum,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,AAVE,0.0,52,0.0,0.0,24,13,0.2857142857142857,0
12567,250,5.580076483235764,0.12286146256067479,0.18071138696586297,0.18063181347974855,5,0.0003978674305721334,2271,0.18071138696586297,16,0.0012731757778308267,62,0.004933556139094453,3,0.00023872045834328001,103,0.008196069069785948,70,0.005570144028009867,503,0.040025463515556615,172,0.013686639611681388,71,0.005649717514124294,14,0.0011140288056019733,21,0.0016710432084029601,1.4714285714285715,0.2548148148148148,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,675,0.053712103127238,1.3686639611681388,1,8.096423615612961,2146,2124,9.210209364748131,3708,1987,9.809058131846522,4740,1850,0,9,0,1,547,1.0,0,0.0,0.0,17.4,21,1.5,38,0.8444444444444444,0.0,0.0,1.0,53,4.217394764064614,207,187,194,184,1.0,0.0,1.0,ethereum,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,0.0,190,0.0,12.31797565051325,173,79,0.0625,0
18709,256,5.5652078741465605,0.12149232989470309,0.15313485488267678,0.15286760382703513,43,0.00229835907851836,2865,0.15313485488267678,23,0.001229354855951681,62,0.003313913089956705,22,0.001175904644823347,88,0.004703618579293388,82,0.004382917312523385,878,0.04692928537067721,219,0.011705596237105136,161,0.008605483991661767,42,0.002244908867390026,71,0.003794964990111711,1.0731707317073171,0.19963536918869645,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1097,0.05863488160778235,1.1705596237105136,1,8.161013594112717,3062,2699,9.425860815997614,5273,2551,10.07063394939575,6892,2403,0,10,0,1,565,1.0,0,0.0,0.0,17.8,71,1.6904761904761905,14,0.8235294117647058,0.0,0.0,1.0,54,2.8863114009300337,236,232,216,189,1.0,0.0,1.0,ethereum,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,ENS,0.0,602,0.0,11.705596237105135,170,226,0.1894273127753304,0
2244,194,5.979317545893994,0.05837789661319073,0.0,0.10828877005347594,7,0.0031194295900178253,0,0.0,7,0.0031194295900178253,4,0.0017825311942959,1,0.000445632798573975,13,0.005793226381461676,14,0.006238859180035651,98,0.04367201426024955,50,0.022281639928698752,4,0.0017825311942959,7,0.0031194295900178253,14,0.006238859180035651,0.9285714285714286,0.33783783783783783,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,148,0.0659536541889483,2.228163992869875,1,8.601835849364969,774,59,9.595995534026839,1180,35,10.008327493379115,1399,15,0,8,0,1,0,0.0,0,0.0,0.0,8.1,14,2.0,2,0.6666666666666666,0.0,1.0,0.0,20,8.9126559714795,101,84,98,124,1.0,0.0,1.0,ethereum,0x4d224452801ACEd8B2F0aebE155379bb5D594381,APE,0.0,14,0.0,17.825311942959,27,12,0.5384615384615384,0
